variable,results,se,(lower,upper),missInfo,Beta,ll,ul,z,p.value,outcome,stars,Beta_round,p_value_round,Beta_star
first_langnon-English only,-0.061655698864032396,0.06350589592063885,-0.18617382408162703,0.06286242635356223,8 %,-0.061655698864032396,-0.18617382408162703,0.06286242635356223,-0.9708657435694068,0.33161513885043603,utility,,-0.06,0.332,-0.06
female,-0.0468044117524751,0.0193490779534716,-0.08473562639251961,-0.008873197112430592,6 %,-0.0468044117524751,-0.08473562639251961,-0.008873197112430592,-2.418947913953568,0.015565468842645203,utility,*,-0.05,0.016,-0.05*
"relevel(factor(race_ethnicity), ref = ""Asian"")Another Race",-0.06618773592720593,0.12161172378243837,-0.3045614910056843,0.1721860191512724,4 %,-0.06618773592720593,-0.3045614910056843,0.1721860191512724,-0.5442545658312914,0.5862663074132666,utility,,-0.07,0.586,-0.07
"relevel(factor(race_ethnicity), ref = ""Asian"")Black",0.275781561389208,0.0615096231621206,0.15520152068923687,0.39636160208917914,6 %,0.275781561389208,0.15520152068923687,0.39636160208917914,4.483551470675279,7.3410885068625475e-6,utility,***,0.28,0,0.28***
"relevel(factor(race_ethnicity), ref = ""Asian"")Latinx",-0.028368398321432082,0.05277014898021007,-0.13179990876945682,0.07506311212659267,2 %,-0.028368398321432082,-0.13179990876945682,0.07506311212659267,-0.5375841999625742,0.590864140653528,utility,,-0.03,0.591,-0.03
"relevel(factor(race_ethnicity), ref = ""Asian"")Multiple",-0.006327166422580459,0.05913741214581416,-0.12226870611419716,0.10961437326903622,7 %,-0.006327166422580459,-0.12226870611419716,0.10961437326903622,-0.10699092491534237,0.9147961792972179,utility,,-0.01,0.915,-0.01
"relevel(factor(race_ethnicity), ref = ""Asian"")White",-0.08702647071925917,0.05158989852328089,-0.18814431744175547,0.014091376003237108,2 %,-0.08702647071925917,-0.18814431744175547,0.014091376003237108,-1.6868897441228126,0.09162455449735751,utility,.,-0.09,0.092,-0.09.
math_score,0.009513704763168965,0.0012266096077335298,0.007108382368567354,0.011919027157770577,9 %,0.009513704763168965,0.007108382368567354,0.011919027157770577,7.7560983569564,8.659739592076221e-15,utility,***,0.01,0,0.01***
early_algebra,-0.047136341314338144,0.024060175039905315,-0.09430827033065166,3.558770197537031e-5,7 %,-0.047136341314338144,-0.09430827033065166,3.558770197537031e-5,-1.9591021776092465,0.05010082184563425,utility,.,-0.05,0.05,-0.05.
public,0.06999770931012456,0.023981789042438764,0.02299032127566604,0.11700509734458307,4 %,0.06999770931012456,0.02299032127566604,0.11700509734458307,2.9187859665621647,0.0035139740359517724,utility,**,0.07,0.004,0.07**
urban,0.027840338080556144,0.023980668380696353,-0.019172781084680048,0.07485345724579234,6 %,0.027840338080556144,-0.019172781084680048,0.07485345724579234,1.160949212865422,0.24566255368687684,utility,,0.03,0.246,0.03
time:math_level.L,0.16342365786735602,0.04342679374856043,0.0781531924503935,0.24869412328431856,17 %,0.16342365786735602,0.0781531924503935,0.24869412328431856,3.7631987941263434,1.67753745324406e-4,utility,***,0.16,0,0.16***
time:math_level.Q,-0.07255169841906925,0.038331232321407796,-0.14784018589706016,0.0027367890589216487,19 %,-0.07255169841906925,-0.14784018589706016,0.0027367890589216487,-1.8927567423536629,0.05839022663380744,utility,.,-0.07,0.058,-0.07.
time:math_level.C,-0.13901365207519517,0.030482818833774863,-0.19882938701169262,-0.07919791713869773,14 %,-0.13901365207519517,-0.19882938701169262,-0.07919791713869773,-4.5603936051074285,5.105782680869808e-6,utility,***,-0.14,0,-0.14***
math_level.L:teach_treat_std,0.007565200303077101,0.023545999014909887,-0.03869435973079296,0.05382476033694716,20 %,0.007565200303077101,-0.03869435973079296,0.05382476033694716,0.3212945137000403,0.7479872136348491,utility,,0.01,0.748,0.01
math_level.Q:teach_treat_std,-0.010767014948929439,0.02083448747742889,-0.05169606884806031,0.030162038950201427,19 %,-0.010767014948929439,-0.05169606884806031,0.030162038950201427,-0.5167880880484302,0.6053040963086713,utility,,-0.01,0.605,-0.01
math_level.C:teach_treat_std,-0.015364892829558868,0.017909937521683135,-0.05052753088303773,0.01979774522391999,17 %,-0.015364892829558868,-0.05052753088303773,0.01979774522391999,-0.8578976230909213,0.39094899683490136,utility,,-0.02,0.391,-0.02
